Frame numero: 17 | Tiempo total desde el inicio: 1243 milisegundos | Tiempo de procesamiento por cada frame: 38 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 16.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 1.82 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 18 | Tiempo total desde el inicio: 1281 milisegundos | Tiempo de procesamiento por cada frame: 37 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 17.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.782 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 19 | Tiempo total desde el inicio: 1314 milisegundos | Tiempo de procesamiento por cada frame: 32 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 11.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 1.42 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 20 | Tiempo total desde el inicio: 1353 milisegundos | Tiempo de procesamiento por cada frame: 39 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 6.9 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 21 | Tiempo total desde el inicio: 1386 milisegundos | Tiempo de procesamiento por cada frame: 33 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 5.6 milisegundos | Posprocesamiento: 10 milisegundos |
Frame numero: 22 | Tiempo total desde el inicio: 1419 milisegundos | Tiempo de procesamiento por cada frame: 32 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 14 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 1.14 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 23 | Tiempo total desde el inicio: 1458 milisegundos | Tiempo de procesamiento por cada frame: 38 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 7.21 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 24 | Tiempo total desde el inicio: 1490 milisegundos | Tiempo de procesamiento por cada frame: 31 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 1.31 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 25 | Tiempo total desde el inicio: 1529 milisegundos | Tiempo de procesamiento por cada frame: 38 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 14.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 5.3 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 26 | Tiempo total desde el inicio: 1564 milisegundos | Tiempo de procesamiento por cada frame: 34 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 2.96 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 27 | Tiempo total desde el inicio: 1599 milisegundos | Tiempo de procesamiento por cada frame: 34 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 2.12 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 28 | Tiempo total desde el inicio: 1642 milisegundos | Tiempo de procesamiento por cada frame: 42 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 14.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 10.7 milisegundos | Posprocesamiento: 13 milisegundos |
