Frame numero: 33 | Tiempo total desde el inicio: 3523 milisegundos | Tiempo de procesamiento por cada frame: 166 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 48.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 100 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 35 | Tiempo total desde el inicio: 3672 milisegundos | Tiempo de procesamiento por cada frame: 149 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 45.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 84 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 37 | Tiempo total desde el inicio: 3815 milisegundos | Tiempo de procesamiento por cada frame: 142 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 45.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 79 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 39 | Tiempo total desde el inicio: 3953 milisegundos | Tiempo de procesamiento por cada frame: 137 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 42 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 77 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.005 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 41 | Tiempo total desde el inicio: 4100 milisegundos | Tiempo de procesamiento por cada frame: 147 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 44.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 83 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.004 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 43 | Tiempo total desde el inicio: 4240 milisegundos | Tiempo de procesamiento por cada frame: 139 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 39.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 82 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.003 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 45 | Tiempo total desde el inicio: 4375 milisegundos | Tiempo de procesamiento por cada frame: 134 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 39.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 77 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.008 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 47 | Tiempo total desde el inicio: 4537 milisegundos | Tiempo de procesamiento por cada frame: 161 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 45.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 81 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0.032 milisegundos | Posprocesamiento: 26 milisegundos |
Frame numero: 49 | Tiempo total desde el inicio: 4699 milisegundos | Tiempo de procesamiento por cada frame: 162 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 51.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 84 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.008 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 51 | Tiempo total desde el inicio: 4840 milisegundos | Tiempo de procesamiento por cada frame: 140 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 42.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 77 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.011 milisegundos | Posprocesamiento: 17 milisegundos |
Frame numero: 53 | Tiempo total desde el inicio: 4983 milisegundos | Tiempo de procesamiento por cada frame: 142 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 43.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 78 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.017 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 55 | Tiempo total desde el inicio: 5126 milisegundos | Tiempo de procesamiento por cada frame: 142 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 40.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 82 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.022 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 57 | Tiempo total desde el inicio: 5268 milisegundos | Tiempo de procesamiento por cada frame: 141 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 38.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 80 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.255 milisegundos | Posprocesamiento: 17 milisegundos |
Frame numero: 59 | Tiempo total desde el inicio: 5418 milisegundos | Tiempo de procesamiento por cada frame: 149 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 40.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 86 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.46 milisegundos | Posprocesamiento: 17 milisegundos |
