Frame numero: 17 | Tiempo total desde el inicio: 3767 milisegundos | Tiempo de procesamiento por cada frame: 155 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.46 milisegundos | Sustraccion de fondo: 40 milisegundos | Transformaciones Morfologicas: 93 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 18 | Tiempo total desde el inicio: 3924 milisegundos | Tiempo de procesamiento por cada frame: 157 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.07 milisegundos | Sustraccion de fondo: 34 milisegundos | Transformaciones Morfologicas: 100 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 19 | Tiempo total desde el inicio: 4072 milisegundos | Tiempo de procesamiento por cada frame: 147 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.42 milisegundos | Sustraccion de fondo: 41 milisegundos | Transformaciones Morfologicas: 86 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 20 | Tiempo total desde el inicio: 4236 milisegundos | Tiempo de procesamiento por cada frame: 162 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.34 milisegundos | Sustraccion de fondo: 41 milisegundos | Transformaciones Morfologicas: 100 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 21 | Tiempo total desde el inicio: 4409 milisegundos | Tiempo de procesamiento por cada frame: 173 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.56 milisegundos | Sustraccion de fondo: 38 milisegundos | Transformaciones Morfologicas: 114 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 22 | Tiempo total desde el inicio: 4582 milisegundos | Tiempo de procesamiento por cada frame: 173 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3 milisegundos | Sustraccion de fondo: 32 milisegundos | Transformaciones Morfologicas: 116 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 23 | Tiempo total desde el inicio: 4737 milisegundos | Tiempo de procesamiento por cada frame: 153 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.24 milisegundos | Sustraccion de fondo: 36 milisegundos | Transformaciones Morfologicas: 87 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 21 milisegundos |
Frame numero: 24 | Tiempo total desde el inicio: 4877 milisegundos | Tiempo de procesamiento por cada frame: 140 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.47 milisegundos | Sustraccion de fondo: 29 milisegundos | Transformaciones Morfologicas: 87 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 25 | Tiempo total desde el inicio: 5022 milisegundos | Tiempo de procesamiento por cada frame: 144 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.68 milisegundos | Sustraccion de fondo: 28 milisegundos | Transformaciones Morfologicas: 94 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 26 | Tiempo total desde el inicio: 5156 milisegundos | Tiempo de procesamiento por cada frame: 134 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.24 milisegundos | Sustraccion de fondo: 29 milisegundos | Transformaciones Morfologicas: 85 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 27 | Tiempo total desde el inicio: 5299 milisegundos | Tiempo de procesamiento por cada frame: 142 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.58 milisegundos | Sustraccion de fondo: 32 milisegundos | Transformaciones Morfologicas: 86 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 28 | Tiempo total desde el inicio: 5450 milisegundos | Tiempo de procesamiento por cada frame: 151 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.23 milisegundos | Sustraccion de fondo: 29 milisegundos | Transformaciones Morfologicas: 100 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 29 | Tiempo total desde el inicio: 5603 milisegundos | Tiempo de procesamiento por cada frame: 152 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.19 milisegundos | Sustraccion de fondo: 34 milisegundos | Transformaciones Morfologicas: 94 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 30 | Tiempo total desde el inicio: 5750 milisegundos | Tiempo de procesamiento por cada frame: 146 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.32 milisegundos | Sustraccion de fondo: 40 milisegundos | Transformaciones Morfologicas: 86 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 31 | Tiempo total desde el inicio: 5886 milisegundos | Tiempo de procesamiento por cada frame: 135 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.81 milisegundos | Sustraccion de fondo: 28 milisegundos | Transformaciones Morfologicas: 88 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 32 | Tiempo total desde el inicio: 6023 milisegundos | Tiempo de procesamiento por cada frame: 136 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.31 milisegundos | Sustraccion de fondo: 30 milisegundos | Transformaciones Morfologicas: 87 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 11 milisegundos |
Frame numero: 33 | Tiempo total desde el inicio: 6162 milisegundos | Tiempo de procesamiento por cada frame: 138 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.7 milisegundos | Sustraccion de fondo: 35 milisegundos | Transformaciones Morfologicas: 84 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 11 milisegundos |
Frame numero: 34 | Tiempo total desde el inicio: 6301 milisegundos | Tiempo de procesamiento por cada frame: 139 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.92 milisegundos | Sustraccion de fondo: 31 milisegundos | Transformaciones Morfologicas: 88 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 35 | Tiempo total desde el inicio: 6443 milisegundos | Tiempo de procesamiento por cada frame: 142 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.19 milisegundos | Sustraccion de fondo: 30 milisegundos | Transformaciones Morfologicas: 91 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 36 | Tiempo total desde el inicio: 6580 milisegundos | Tiempo de procesamiento por cada frame: 136 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.26 milisegundos | Sustraccion de fondo: 27 milisegundos | Transformaciones Morfologicas: 90 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 37 | Tiempo total desde el inicio: 6725 milisegundos | Tiempo de procesamiento por cada frame: 144 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.86 milisegundos | Sustraccion de fondo: 27 milisegundos | Transformaciones Morfologicas: 96 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 38 | Tiempo total desde el inicio: 6860 milisegundos | Tiempo de procesamiento por cada frame: 135 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.54 milisegundos | Sustraccion de fondo: 26 milisegundos | Transformaciones Morfologicas: 89 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 39 | Tiempo total desde el inicio: 6994 milisegundos | Tiempo de procesamiento por cada frame: 134 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.19 milisegundos | Sustraccion de fondo: 26 milisegundos | Transformaciones Morfologicas: 88 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 11 milisegundos |
Frame numero: 40 | Tiempo total desde el inicio: 7134 milisegundos | Tiempo de procesamiento por cada frame: 139 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.32 milisegundos | Sustraccion de fondo: 27 milisegundos | Transformaciones Morfologicas: 89 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 41 | Tiempo total desde el inicio: 7275 milisegundos | Tiempo de procesamiento por cada frame: 140 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.02 milisegundos | Sustraccion de fondo: 36 milisegundos | Transformaciones Morfologicas: 85 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 42 | Tiempo total desde el inicio: 7416 milisegundos | Tiempo de procesamiento por cada frame: 140 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.2 milisegundos | Sustraccion de fondo: 26 milisegundos | Transformaciones Morfologicas: 93 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 43 | Tiempo total desde el inicio: 7571 milisegundos | Tiempo de procesamiento por cada frame: 155 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.84 milisegundos | Sustraccion de fondo: 31 milisegundos | Transformaciones Morfologicas: 102 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 44 | Tiempo total desde el inicio: 7744 milisegundos | Tiempo de procesamiento por cada frame: 172 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.08 milisegundos | Sustraccion de fondo: 39 milisegundos | Transformaciones Morfologicas: 109 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 45 | Tiempo total desde el inicio: 7916 milisegundos | Tiempo de procesamiento por cada frame: 171 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.24 milisegundos | Sustraccion de fondo: 33 milisegundos | Transformaciones Morfologicas: 112 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 16 milisegundos |
